flower_name,color,petal_count,bloom_season,average_height,sunlight_requirement,watering_frequency,bloom_color,height_cm
Inge,Pink,15,Fall,30.55,Shade,Weekly,White,133
Saba,Red,97,Winter,7.12,Full Sun,Weekly,Yellow,73
Archibold,Mauv,13,Fall,18.06,Shade,Bi-weekly,Yellow,125
Nikaniki,Khaki,25,Summer,51.69,Partial Sun,Bi-weekly,Red,73
Brocky,Teal,21,Summer,9.38,Shade,Weekly,Pink,182
Marcia,Teal,26,Fall,6.74,Partial Sun,Bi-weekly,Red,73
Omero,Yellow,57,Winter,47.53,Full Sun,Weekly,Red,176
Octavius,Violet,62,Summer,49.05,Shade,Daily,Purple,22
Toby,Crimson,11,Spring,35.48,Full Sun,Daily,Pink,100
Effie,Purple,69,Spring,14.26,Partial Sun,Bi-weekly,Purple,101
Faulkner,Khaki,79,Summer,16.44,Full Sun,Daily,Red,50
Suzi,Yellow,72,Spring,24.85,Shade,Weekly,Red,159
Arlyne,Green,8,Fall,52.15,Partial Sun,Weekly,White,109
Silvan,Fuscia,29,Spring,43.38,Full Sun,Weekly,Pink,146
Shirleen,Orange,19,Fall,29.36,Full Sun,Weekly,Pink,160
Katrina,Teal,78,Fall,54.28,Partial Sun,Daily,Purple,194
Mirabelle,Goldenrod,78,Spring,33.9,Partial Sun,Daily,White,158
Minerva,Teal,72,Fall,36.03,Shade,Daily,Yellow,28
Rosalynd,Green,71,Winter,57.38,Partial Sun,Bi-weekly,White,160
Bibbye,Pink,72,Spring,21.16,Full Sun,Bi-weekly,Pink,20
Ceciley,Purple,40,Winter,11.87,Partial Sun,Bi-weekly,White,197
Tracey,Orange,32,Summer,34.05,Partial Sun,Bi-weekly,Red,20
Meier,Aquamarine,96,Summer,36.0,Shade,Bi-weekly,Yellow,16
Sofie,Aquamarine,20,Summer,46.64,Full Sun,Weekly,Red,185
Pepito,Green,71,Spring,11.88,Shade,Bi-weekly,Red,61
Meredeth,Crimson,37,Summer,22.65,Full Sun,Bi-weekly,Pink,97
Piotr,Crimson,55,Fall,50.2,Partial Sun,Weekly,Pink,73
Debor,Indigo,84,Spring,12.76,Full Sun,Daily,Purple,40
Ardene,Maroon,80,Fall,59.21,Partial Sun,Bi-weekly,White,79
Elizabet,Green,97,Winter,38.04,Partial Sun,Weekly,Yellow,42
Neville,Orange,93,Fall,24.84,Full Sun,Daily,Red,67
Shepherd,Aquamarine,80,Spring,42.25,Full Sun,Weekly,Red,101
Erny,Yellow,94,Fall,49.96,Full Sun,Bi-weekly,Red,118
Lilyan,Turquoise,51,Spring,35.67,Shade,Weekly,Yellow,185
Donall,Teal,38,Fall,26.82,Shade,Bi-weekly,Red,112
Silas,Puce,65,Summer,19.09,Shade,Bi-weekly,Pink,168
Willi,Khaki,16,Winter,11.57,Partial Sun,Weekly,Pink,112
Tim,Aquamarine,30,Spring,15.85,Partial Sun,Weekly,Purple,96
Rog,Fuscia,68,Spring,53.86,Partial Sun,Weekly,Yellow,101
Packston,Mauv,66,Summer,40.43,Shade,Bi-weekly,Yellow,175
Cyndy,Red,42,Spring,45.14,Shade,Bi-weekly,Pink,68
Dan,Blue,7,Winter,15.04,Partial Sun,Bi-weekly,White,77
Jacinda,Green,30,Fall,26.2,Partial Sun,Daily,Purple,174
Dionis,Goldenrod,59,Summer,15.18,Full Sun,Weekly,Red,42
Ebba,Teal,47,Summer,40.23,Partial Sun,Daily,Red,61
Dane,Indigo,39,Summer,36.2,Full Sun,Daily,Yellow,39
Jannelle,Red,98,Fall,27.14,Full Sun,Bi-weekly,Pink,103
Clarinda,Orange,48,Winter,41.71,Full Sun,Bi-weekly,Pink,41
Elissa,Purple,60,Summer,12.99,Full Sun,Bi-weekly,Yellow,137
Bourke,Crimson,98,Summer,45.55,Full Sun,Daily,White,106
Odille,Green,12,Summer,35.97,Shade,Weekly,Yellow,119
Fidelity,Aquamarine,49,Fall,15.25,Shade,Weekly,Red,28
Maryjo,Indigo,21,Spring,46.0,Partial Sun,Daily,Yellow,142
Isabelle,Puce,15,Fall,16.94,Shade,Weekly,Red,31
Jill,Aquamarine,53,Winter,15.09,Full Sun,Weekly,Purple,103
Reynolds,Violet,87,Summer,27.1,Full Sun,Bi-weekly,Red,180
Bendix,Mauv,63,Spring,50.59,Full Sun,Bi-weekly,Purple,106
Hertha,Crimson,95,Fall,18.23,Shade,Bi-weekly,White,50
Romonda,Maroon,62,Winter,26.54,Shade,Daily,Red,63
Maryanne,Purple,7,Spring,8.35,Full Sun,Bi-weekly,Purple,180
Tracey,Fuscia,14,Winter,43.74,Partial Sun,Weekly,White,11
Hastie,Yellow,11,Fall,16.69,Partial Sun,Bi-weekly,Yellow,125
Olva,Green,90,Spring,10.05,Shade,Weekly,Yellow,17
Michel,Violet,99,Winter,39.58,Shade,Bi-weekly,Red,31
Rickie,Maroon,71,Summer,22.23,Shade,Daily,Red,116
Marylinda,Indigo,62,Summer,10.37,Full Sun,Bi-weekly,Purple,96
Delphinia,Maroon,53,Spring,37.17,Partial Sun,Daily,White,60
Stevena,Yellow,65,Summer,11.19,Full Sun,Weekly,Red,73
Travus,Maroon,28,Winter,34.86,Shade,Weekly,Red,37
Vera,Turquoise,35,Spring,31.45,Full Sun,Weekly,Pink,101
Clemens,Yellow,9,Summer,46.01,Full Sun,Bi-weekly,Purple,100
Darlleen,Teal,7,Summer,49.79,Full Sun,Bi-weekly,Pink,135
Ronda,Yellow,74,Spring,6.21,Partial Sun,Daily,White,37
Noland,Khaki,52,Summer,38.53,Shade,Bi-weekly,White,49
Carlee,Goldenrod,79,Spring,34.8,Shade,Daily,Pink,127
Haywood,Puce,51,Spring,12.07,Full Sun,Weekly,Purple,78
Hayden,Blue,25,Winter,24.99,Partial Sun,Weekly,Red,75
Roger,Aquamarine,52,Fall,39.19,Partial Sun,Daily,White,86
Rock,Turquoise,60,Spring,45.75,Shade,Bi-weekly,Purple,26
Jonis,Blue,38,Spring,6.58,Partial Sun,Weekly,White,14
Antoine,Goldenrod,57,Spring,43.91,Shade,Daily,White,127
Zack,Aquamarine,45,Fall,44.36,Full Sun,Daily,Red,112
Ryley,Khaki,82,Winter,30.3,Partial Sun,Weekly,Yellow,20
Thayne,Teal,92,Winter,14.13,Full Sun,Daily,Yellow,11
Glen,Maroon,88,Fall,27.63,Partial Sun,Weekly,White,111
Jarrid,Orange,98,Winter,40.48,Shade,Daily,Pink,26
Nikki,Turquoise,12,Fall,8.8,Partial Sun,Daily,Red,62
Boot,Puce,77,Spring,11.53,Shade,Weekly,Pink,17
Gal,Red,90,Summer,45.49,Full Sun,Bi-weekly,White,157
Maye,Goldenrod,98,Winter,22.22,Full Sun,Daily,White,26
Joelly,Purple,33,Winter,15.98,Partial Sun,Weekly,Red,194
Robbin,Puce,22,Summer,40.61,Partial Sun,Daily,Purple,83
Torry,Crimson,7,Fall,37.45,Shade,Daily,Yellow,68
Pip,Blue,94,Fall,29.67,Partial Sun,Daily,Yellow,21
Phineas,Yellow,31,Winter,40.27,Full Sun,Weekly,Pink,85
Mirella,Blue,15,Summer,39.49,Partial Sun,Weekly,Purple,185
Maurine,Crimson,98,Summer,20.1,Full Sun,Weekly,Red,153
Hobey,Maroon,85,Summer,52.03,Partial Sun,Weekly,Pink,96
Auberta,Fuscia,30,Fall,57.36,Partial Sun,Weekly,White,104
Gorden,Khaki,54,Summer,19.95,Shade,Weekly,Purple,40
Cynthea,Puce,7,Summer,38.79,Full Sun,Weekly,White,41
Renado,Maroon,84,Spring,19.46,Shade,Bi-weekly,Purple,189
Zoe,Red,75,Winter,27.85,Full Sun,Weekly,Yellow,123
Travis,Goldenrod,90,Summer,30.17,Shade,Daily,Pink,40
Adina,Aquamarine,18,Winter,37.61,Shade,Daily,Pink,104
Isahella,Mauv,33,Fall,36.18,Full Sun,Weekly,Pink,126
Neely,Fuscia,63,Spring,54.13,Shade,Weekly,Pink,62
Amalea,Crimson,23,Winter,29.99,Shade,Daily,Purple,65
Ofilia,Orange,11,Spring,56.0,Full Sun,Weekly,White,52
Clio,Crimson,41,Fall,35.81,Partial Sun,Daily,Pink,48
Jess,Yellow,65,Winter,55.07,Full Sun,Bi-weekly,Pink,132
Valina,Turquoise,15,Summer,7.59,Partial Sun,Weekly,Pink,14
Starla,Blue,21,Summer,14.77,Partial Sun,Bi-weekly,White,179
Patty,Blue,42,Summer,10.72,Full Sun,Bi-weekly,Pink,113
Gabe,Violet,45,Winter,17.71,Shade,Daily,Pink,122
Anatole,Purple,92,Spring,13.13,Partial Sun,Weekly,Purple,21
Sigismond,Aquamarine,64,Summer,41.0,Full Sun,Daily,Red,57
Odessa,Pink,79,Winter,39.97,Full Sun,Weekly,White,48
Tawnya,Goldenrod,82,Fall,59.94,Full Sun,Bi-weekly,Yellow,179
Kettie,Indigo,63,Fall,32.14,Full Sun,Bi-weekly,White,144
Buddie,Purple,42,Winter,22.76,Partial Sun,Weekly,Pink,200
Sergeant,Orange,61,Summer,28.21,Full Sun,Bi-weekly,Red,79
Naoma,Red,66,Summer,59.9,Partial Sun,Daily,Red,58
Gerrilee,Indigo,14,Summer,23.1,Shade,Bi-weekly,Purple,192
Aida,Orange,90,Summer,56.01,Shade,Bi-weekly,Red,28
Kip,Orange,6,Fall,23.63,Partial Sun,Bi-weekly,Red,104
Scott,Indigo,60,Summer,59.36,Partial Sun,Weekly,White,47
Patrice,Orange,92,Fall,35.18,Full Sun,Bi-weekly,Pink,182
Stacee,Yellow,84,Summer,26.87,Shade,Bi-weekly,Pink,66
Sapphira,Goldenrod,54,Spring,54.15,Partial Sun,Weekly,White,26
Missie,Goldenrod,72,Fall,42.58,Partial Sun,Daily,White,48
Leonie,Puce,18,Spring,12.67,Full Sun,Weekly,White,32
Lura,Maroon,46,Spring,45.24,Full Sun,Weekly,Yellow,88
Garrek,Violet,35,Spring,21.72,Shade,Daily,Pink,163
Oneida,Turquoise,51,Fall,49.69,Shade,Weekly,Yellow,48
Charleen,Violet,15,Winter,11.13,Shade,Daily,Red,172
Bernadine,Red,42,Fall,54.84,Full Sun,Bi-weekly,Red,108
Joye,Turquoise,70,Spring,59.7,Full Sun,Daily,Purple,127
Grannie,Violet,55,Fall,6.22,Shade,Bi-weekly,Pink,67
Tobie,Pink,25,Fall,33.09,Shade,Bi-weekly,Red,85
Traver,Mauv,66,Winter,32.2,Full Sun,Daily,Red,98
Alisun,Crimson,70,Winter,33.56,Partial Sun,Bi-weekly,Purple,37
Alessandro,Maroon,75,Summer,23.86,Shade,Bi-weekly,Pink,126
Camey,Yellow,44,Spring,36.8,Shade,Bi-weekly,Purple,23
Carri,Red,80,Summer,50.81,Shade,Weekly,White,117
Annette,Aquamarine,43,Spring,36.14,Partial Sun,Bi-weekly,Yellow,102
Addie,Purple,72,Fall,32.2,Full Sun,Daily,White,156
Dietrich,Turquoise,34,Summer,56.52,Shade,Bi-weekly,Purple,200
Phil,Goldenrod,85,Fall,29.43,Shade,Bi-weekly,White,166
Maisie,Indigo,15,Fall,38.98,Shade,Daily,Yellow,149
Marcos,Turquoise,76,Summer,44.14,Shade,Daily,Pink,124
Hewet,Green,68,Summer,37.68,Shade,Daily,Yellow,28
Kevan,Goldenrod,36,Summer,35.35,Partial Sun,Daily,Yellow,87
Gussy,Orange,35,Fall,51.91,Shade,Daily,Yellow,93
Karie,Goldenrod,30,Winter,29.42,Shade,Weekly,Purple,133
Anthe,Maroon,35,Fall,10.15,Full Sun,Bi-weekly,Red,133
Hollyanne,Teal,53,Winter,25.04,Full Sun,Weekly,Pink,102
Sherman,Orange,28,Spring,42.11,Shade,Bi-weekly,Purple,64
Maribel,Aquamarine,10,Fall,59.82,Shade,Weekly,Red,13
Frances,Mauv,53,Summer,14.47,Partial Sun,Daily,Pink,26
Geri,Turquoise,6,Winter,59.0,Full Sun,Bi-weekly,Yellow,141
Gui,Green,43,Winter,43.98,Partial Sun,Bi-weekly,Purple,126
Vidovic,Puce,9,Winter,10.9,Partial Sun,Weekly,White,88
Errick,Khaki,52,Fall,51.64,Partial Sun,Bi-weekly,Pink,147
Farleigh,Indigo,64,Winter,18.05,Full Sun,Bi-weekly,White,18
Terra,Mauv,73,Fall,22.04,Shade,Bi-weekly,Red,168
Babbette,Mauv,90,Fall,7.15,Partial Sun,Daily,White,182
Jayson,Violet,38,Spring,34.88,Partial Sun,Weekly,Pink,54
Rory,Purple,97,Summer,31.14,Shade,Bi-weekly,Red,24
Ervin,Turquoise,32,Winter,47.51,Shade,Bi-weekly,Pink,103
Jade,Goldenrod,30,Fall,20.71,Full Sun,Weekly,Red,122
Paxon,Indigo,27,Fall,39.07,Partial Sun,Bi-weekly,Red,179
Della,Teal,70,Summer,32.63,Full Sun,Weekly,Yellow,120
Alwyn,Pink,65,Fall,51.99,Full Sun,Bi-weekly,Red,34
Rachel,Green,11,Fall,44.92,Shade,Daily,Yellow,34
Dorian,Mauv,44,Summer,8.28,Full Sun,Bi-weekly,Yellow,80
Dionis,Aquamarine,42,Summer,17.08,Partial Sun,Bi-weekly,Purple,126
Windy,Mauv,39,Winter,49.79,Shade,Bi-weekly,Yellow,45
Iseabal,Blue,44,Summer,31.61,Shade,Bi-weekly,White,46
Krystalle,Green,67,Fall,59.48,Partial Sun,Bi-weekly,Red,165
Lucinda,Violet,70,Summer,41.99,Shade,Weekly,Pink,83
Arlene,Blue,35,Winter,20.85,Shade,Bi-weekly,Yellow,136
Rich,Green,84,Summer,55.37,Partial Sun,Bi-weekly,Red,89
Hussein,Aquamarine,47,Fall,9.7,Partial Sun,Bi-weekly,Purple,163
Gareth,Indigo,54,Fall,12.7,Partial Sun,Bi-weekly,Purple,28
Berty,Violet,84,Spring,37.3,Partial Sun,Weekly,White,39
Meridel,Blue,17,Fall,13.27,Full Sun,Weekly,Pink,114
Ethelind,Red,26,Winter,8.56,Partial Sun,Weekly,Pink,99
Louisette,Red,42,Summer,16.47,Full Sun,Bi-weekly,Purple,181
Gwyn,Goldenrod,36,Fall,10.86,Full Sun,Weekly,Purple,173
Salome,Maroon,53,Summer,21.12,Full Sun,Daily,Pink,13
Barbi,Maroon,36,Winter,51.53,Shade,Bi-weekly,Yellow,76
Kalil,Yellow,26,Summer,27.65,Full Sun,Weekly,Purple,16
Sibyl,Crimson,20,Summer,34.18,Full Sun,Bi-weekly,Pink,40
Alfonso,Violet,25,Fall,39.83,Partial Sun,Bi-weekly,Red,36
Helge,Teal,84,Fall,47.34,Full Sun,Daily,Yellow,52
Quintilla,Yellow,37,Spring,45.99,Shade,Daily,Red,126
Shaun,Mauv,47,Winter,44.8,Shade,Bi-weekly,Purple,79
Brenn,Maroon,68,Spring,45.37,Full Sun,Bi-weekly,Red,91
Sammie,Pink,45,Winter,58.81,Shade,Daily,Pink,15
Filmer,Puce,71,Winter,28.35,Full Sun,Weekly,Yellow,134
Trip,Blue,30,Summer,14.74,Partial Sun,Daily,Purple,70
Analiese,Puce,6,Winter,58.18,Full Sun,Daily,Purple,83
Julee,Green,92,Summer,56.54,Full Sun,Weekly,Red,56
Abigael,Violet,80,Winter,31.85,Full Sun,Daily,White,54
Normand,Teal,50,Spring,56.4,Shade,Weekly,Purple,24
Rodi,Indigo,19,Fall,38.92,Full Sun,Daily,White,181
Kristian,Blue,59,Summer,40.12,Partial Sun,Bi-weekly,Yellow,13
Kelcie,Khaki,14,Spring,18.26,Partial Sun,Daily,White,36
Zorana,Violet,10,Spring,22.01,Partial Sun,Bi-weekly,Purple,188
Kessia,Blue,47,Fall,16.39,Full Sun,Weekly,Purple,80
Sondra,Goldenrod,95,Summer,49.69,Partial Sun,Weekly,Pink,165
Hailee,Indigo,32,Winter,54.7,Partial Sun,Bi-weekly,Purple,155
Nevin,Goldenrod,51,Winter,53.85,Partial Sun,Bi-weekly,Pink,114
Herculie,Crimson,87,Spring,43.88,Partial Sun,Daily,Pink,61
Alvie,Violet,50,Spring,22.13,Shade,Weekly,White,21
Geralda,Red,25,Spring,45.74,Full Sun,Bi-weekly,Purple,83
Hiram,Blue,60,Fall,13.99,Partial Sun,Weekly,White,184
Alisander,Green,78,Spring,7.25,Partial Sun,Daily,White,40
Sven,Crimson,68,Summer,30.52,Full Sun,Bi-weekly,Pink,32
Heindrick,Orange,30,Spring,12.16,Full Sun,Bi-weekly,Red,171
Kristen,Puce,15,Summer,38.46,Full Sun,Daily,Red,152
Rouvin,Aquamarine,68,Fall,55.42,Partial Sun,Weekly,Pink,122
Rafe,Yellow,6,Fall,53.71,Shade,Bi-weekly,Purple,60
Borden,Orange,45,Fall,17.26,Partial Sun,Weekly,Purple,13
Glennie,Pink,9,Summer,9.85,Shade,Weekly,Purple,27
Araldo,Mauv,22,Winter,18.25,Full Sun,Weekly,Red,45
Turner,Violet,97,Winter,12.46,Partial Sun,Daily,Yellow,10
Debbie,Violet,55,Fall,10.01,Partial Sun,Bi-weekly,Red,121
Hadley,Indigo,64,Spring,50.57,Partial Sun,Daily,Red,161
Barbabas,Maroon,78,Spring,54.59,Partial Sun,Daily,Yellow,170
Kristien,Crimson,91,Winter,19.05,Full Sun,Daily,Red,57
Orazio,Puce,64,Spring,35.77,Partial Sun,Bi-weekly,White,151
Sal,Green,76,Winter,45.01,Partial Sun,Weekly,Red,133
Monte,Pink,51,Spring,50.91,Partial Sun,Bi-weekly,Purple,93
Chic,Goldenrod,85,Spring,58.75,Partial Sun,Daily,White,57
Marena,Blue,6,Fall,10.58,Full Sun,Daily,Red,190
Elihu,Puce,90,Spring,53.38,Shade,Bi-weekly,White,181
Marj,Maroon,6,Spring,59.39,Partial Sun,Daily,White,88
Jilli,Red,62,Winter,6.46,Full Sun,Daily,White,62
Jacintha,Goldenrod,73,Summer,31.82,Full Sun,Daily,White,135
Winonah,Green,94,Winter,38.63,Partial Sun,Bi-weekly,White,139
